source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
62,98,Sede Central,Oficina de Administracion,Unidad de Tesoreria,CANON,IMAGERUNNER ADANCE DX 68701,Fotocopiadora multifuncional,4DQ00504,202406520,74222358-0297,IP,172.16.23.81,,,,,,Activa,IMPORTAR,
63,50,Sede Central,Direccion de Servicios Estrategicos Agrarios,,CANON,IMAGERUNNER ADVANCE DX 6855I,Fotocopiadora multifuncional,35X00508,202405396,74222358-0315,IP,172.16.23.102,,,,,,Activa,IMPORTAR,
64,135,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,CANON,IMAGERUNNER ADVANCE DX 6855I,Fotocopiadora multifuncional,35X00561,202408868,,IP,172.16.23.151,,,,,,Activa,IMPORTAR,
65,49,Sede Central,Direccion de Servicios Estrategicos Agrarios,,CANON,IMAGERUNNER ADVANCE DX 6870I,Fotocopiadora multifuncional,3LY00530,202405643,74222358-0314,IP,172.16.23.100,,,,,,Activa,IMPORTAR,
66,68,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,Subdireccion de Biotecnologia,CANON,IMAGERUNNER ADVANCE DX 6870I,Fotocopiadora multifuncional,3LY00532,202410341,74222358-0318,IP,172.16.23.104,,,,,,Activa,IMPORTAR,
67,161,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,CANON,IMAGERUNNER ADVANCE DX 6870I,Fotocopiadora multifuncional,4DQ00503,202408940,74222358-0310,IP,172.16.23.87,,,,,,Activa,IMPORTAR,
68,90,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,CANON,IMAGERUNNER ADVANCE DX 6870I,Fotocopiadora multifuncional,ZBAB00241532,202406659,72222358-0296,USB,,,GPR-63,,,,En mantenimiento,IMPORTAR,
69,114,Sede Central,Oficina de Administracion,,KYOCERA,TASALFA7004I,Fotocopiadora multifuncional,H6H3900243,202405040,74222358-0362,IP,172.16.23.124,KM09CAE9,,,,,Activa,IMPORTAR,
70,38,Sede Central,Direccion de Gestion de la Innovacion Agraria,,KYOCERA,TASKALFA 306CI,Fotocopiadora multifuncional,VEV6400057,202412473,,USB,,,,,,,Activa,IMPORTAR,
71,26,Sede Central,Direccion de Gestion de la Innovacion Agraria,,KYOCERA,TASKALFA 6003I,Fotocopiadora multifuncional,RFQ0803836,202412263,74222358-0214,IP,172.16.23.42,KMAD918C,,,,,Activa,IMPORTAR,
